budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,cast,crew,director
1000000,Action|Adventure,,1,hero|battle,en,Hero Quest,A hero embarks on a quest.,7.8,Company A,US,2024-01-01,10000000,120,English,Released,Epic Adventure,Hero Quest,7.5,1400,Actor A|Actor B,Director A|Writer B,Director A
5000000,Comedy|Drama,,2,funny|friends,en,Funny Friends,A group of friends have fun.,6.5,Company B,US,2024-02-15,20000000,95,English,Released,Laugh Out Loud,Funny Friends,6.8,1100,Actor C|Actor D,Director C|Writer D,Director C
2000000,Action|Sci-Fi,,3,aliens|space,en,Alien Invasion,Aliens invade Earth.,8.2,Company C,US,2024-03-20,15000000,110,English,Released,Space War,Alien Invasion,8.1,2200,Actor E|Actor F,Director E|Writer F,Director E
3000000,Drama|Romance,,4,love|drama,en,Love Story,A touching love story.,7.0,Company D,US,2024-04-10,12000000,130,English,Released,Love Conquers All,Love Story,7.3,1000,Actor G|Actor H,Director G|Writer H,Director G
1500000,Adventure|Comedy,,5,explore|journey,en,Adventure Awaits,An adventure awaits.,7.5,Company E,US,2024-05-25,18000000,105,English,Released,Journey Begins,Adventure Awaits,7.6,1900,Actor I|Actor J,Director I|Writer J,Director I
2500000,Horror|Thriller,,6,fear|chase,en,Night Fear,A night of fear.,6.9,Company F,US,2024-06-30,8000000,90,English,Released,Fear the Night,Night Fear,7.0,1200,Actor K|Actor L,Director K|Writer L,Director K
4500000,Documentary|Biography,,7,life|story,en,Life Chronicles,A story of life.,7.3,Company G,US,2024-07-18,14000000,85,English,Released,Life Unfolds,Life Chronicles,7.2,2100,Actor M|Actor N,Director M|Writer N,Director M
1200000,Fantasy|Adventure,,8,magic|quest,en,Mystic Lands,A journey through mystical lands.,7.8,Company H,US,2024-08-22,9500000,100,English,Released,Magic Awaits,Mystic Lands,8.0,1700,Actor O|Actor P,Director O|Writer P,Director O
3500000,Mystery|Crime,,9,detective|mystery,en,Dark Detective,A detective solves crimes.,8.1,Company I,US,2024-09-15,22000000,125,English,Released,Mystery Solved,Dark Detective,7.9,1400,Actor Q|Actor R,Director Q|Writer R,Director Q
800000,Animation|Family,,10,kids|fun,en,Cartoon Fun,Fun for the whole family.,6.2,Company J,US,2024-10-05,6000000,80,English,Released,Fun for Everyone,Cartoon Fun,6.4,2000,Actor S|Actor T,Director S|Writer T,Director S
6000000,Comedy|Romance,,11,romance|laughter,en,Love & Laughs,A romance full of laughs.,7.4,Company K,US,2024-11-11,16000000,115,English,Released,Romantic Comedy,Love & Laughs,7.1,900,Actor U|Actor V,Director U|Writer V,Director U
2200000,Drama|War,,12,war|struggle,en,Battlefield,A war drama.,6.8,Company L,US,2024-12-20,13000000,98,English,Released,War and Peace,Battlefield,6.6,800,Actor W|Actor X,Director W|Writer X,Director W
3300000,Sci-Fi|Thriller,,13,future|tech,en,Tech Future,A futuristic thriller.,8.0,Company M,US,2024-01-30,21000000,123,English,Released,Futuristic Thriller,Tech Future,7.8,1800,Actor Y|Actor Z,Director Y|Writer Z,Director Y
1400000,Action|Comedy,,14,fight|humor,en,Action Laughs,Action and comedy combined.,7.2,Company N,US,2024-02-25,17000000,132,English,Released,Action & Humor,Action Laughs,7.2,1700,Actor AA|Actor BB,Director AA|Writer BB,Director AA
750000,Fantasy|Drama,,15,myth|legend,en,Legend of Myths,A tale of legends and myths.,6.7,Company O,US,2024-03-12,11000000,140,English,Released,Legend Lives On,Legend of Myths,6.7,1300,Actor CC|Actor DD,Director CC|Writer DD,Director CC
1300000,Horror|Sci-Fi,,16,monster|fear,en,Alien Monster,A battle with a monster.,7.9,Company P,US,2024-04-18,19000000,108,English,Released,Monster Battle,Alien Monster,8.0,1450,Actor EE|Actor FF,Director EE|Writer FF,Director EE
5200000,Adventure|Drama,,17,adventure|challenge,en,Great Expedition,An epic expedition.,7.1,Company Q,US,2024-05-06,9000000,117,English,Released,Journey Beyond,Great Expedition,7.1,1600,Actor GG|Actor HH,Director GG|Writer HH,Director GG
2700000,Romance|Comedy,,18,love|comedy,en,Romantic Comedy,A lighthearted romantic comedy.,6.6,Company R,US,2024-06-21,8500000,121,English,Released,Love & Laughs,Romantic Comedy,6.9,1800,Actor II|Actor JJ,Director II|Writer JJ,Director II
